ASN,ASN_NAME,SOURCE,ASOF_DATE
140423,AS-CMEDIANET,PeeringDB,2021-12-31
42330,RIPE::AS-UNCHAINED,PeeringDB,2021-12-31
134152,AS-134152,PeeringDB,2021-12-31
45650,APNIC::AS45650:AS-CUSTOMERS,PeeringDB,2021-12-31
34422,AS-LPGHC,PeeringDB,2021-12-31
48559,AS-INFOMEX,PeeringDB,2021-12-31
41357,AS-34SP,PeeringDB,2021-12-31
41354,AS-ITSTG,PeeringDB,2021-12-31
45658,AS45658:AS-SET-SURYACITRA-ID,PeeringDB,2021-12-31
13460,ARIN::AS-EARTHCAM ARIN::RS-EARTHCAM,PeeringDB,2021-12-31
138181,AS138181:AS-ALL,PeeringDB,2021-12-31
20080,RS-AS20080-TRANSIT AS-AS20080-TRANSIT,PeeringDB,2021-12-31
328747,AS-WAN4U,PeeringDB,2021-12-31
328745,AS-URBANWAVE,PeeringDB,2021-12-31
328748,AFRINIC::AS-AGILESP AFRINIC::RS-AGILESP,PeeringDB,2021-12-31
55836,AS-INFOTEL-IN,PeeringDB,2021-12-31
202959,AS-JCOLP,PeeringDB,2021-12-31
16930,AS-IDLEPATTERN,PeeringDB,2021-12-31
135464,AS135464,PeeringDB,2021-12-31
202954,AS-RAPIDDOT,PeeringDB,2021-12-31
133752,AS133752,PeeringDB,2021-12-31
44654,AS-MNS,PeeringDB,2021-12-31
44655,AS-METROLINE,PeeringDB,2021-12-31
265109,AS265109,PeeringDB,2021-12-31
139058,ALTDB::AS-ACANDWITF-ALTDB,PeeringDB,2021-12-31
207227,RIPE::AS-BOOT,PeeringDB,2021-12-31
12220,ARIN::AS-IEVOLVE,PeeringDB,2021-12-31
265100,AS-FSITELECOM,PeeringDB,2021-12-31
265102,AS-ARNETINTERNET,PeeringDB,2021-12-31
139056,AS139056:AS-FASTONE-KH,PeeringDB,2021-12-31
42156,AS-GNX,PeeringDB,2021-12-31
15879,AS-KPNIS,PeeringDB,2021-12-31
34916,AS-DCN,PeeringDB,2021-12-31
15702,RIPE::AS-ONSTAGE,PeeringDB,2021-12-31
15703,AS-TRUE,PeeringDB,2021-12-31
15704,AS-MUNDI,PeeringDB,2021-12-31
15706,AS-SUDATEL,PeeringDB,2021-12-31
59620,AS-GESBG-OUT,PeeringDB,2021-12-31
209874,RIPE::AS-MOEYK,PeeringDB,2021-12-31
10578,AS10578:AS-ALL,PeeringDB,2021-12-31
9752,AS9752,PeeringDB,2021-12-31
16509,AS-AMAZON,PeeringDB,2021-12-31
268430,AS268430:AS-FLASHLINK-INTERNET,PeeringDB,2021-12-31
57883,AS-NITAET,PeeringDB,2021-12-31
37305,AS-37305,PeeringDB,2021-12-31
24144,AS-LSHIY,PeeringDB,2021-12-31
18931,AS-SAI,PeeringDB,2021-12-31
37302,as-dubetradeport,PeeringDB,2021-12-31
49791,AS-NEWSERVERLIFE-ALL,PeeringDB,2021-12-31
63270,AS-AERUX,PeeringDB,2021-12-31
37308,AS37308,PeeringDB,2021-12-31
138731,AS138731:AS-KOVAIFN,PeeringDB,2021-12-31
211947,AS-KREMENIX,PeeringDB,2021-12-31
8849,AS-MELBICOM,PeeringDB,2021-12-31
211945,AS211945,PeeringDB,2021-12-31
29424,AS-BRIOD,PeeringDB,2021-12-31
