ASN,ASN_NAME,SOURCE,ASOF_DATE
49063,DTLN,ASRank,2022-09-14
36236,NETACTUATE,ASRank,2022-09-14
62,CONE,ASRank,2022-09-14
28910,INTAL-ASN,ASRank,2022-09-14
7470,TRUEINTERNET-AS-AP,ASRank,2022-09-14
2116,GlobalConnect-NO,ASRank,2022-09-14
44530,HOPUS,ASRank,2022-09-14
31287,IPACCT-AS,ASRank,2022-09-14
50606,VIRTUAOPERATOR-AS,ASRank,2022-09-14
703,UUNET,ASRank,2022-09-14
59613,UBNIX,ASRank,2022-09-14
39737,Prime-Telecom-AS,ASRank,2022-09-14
721,DNIC-ASBLK-00721-00726,ASRank,2022-09-14
396998,PATH-NETWORK,ASRank,2022-09-14
20055,AS-WHOLESAIL,ASRank,2022-09-14
48237,MOBILY-AS,ASRank,2022-09-14
22822,LLNW,ASRank,2022-09-14
23855,SINGAREN-GIX-AS-AP,ASRank,2022-09-14
15557,LDCOMNET,ASRank,2022-09-14
45117,INPL-IN-AP,ASRank,2022-09-14
9116,GOLDENLINES-ASN,ASRank,2022-09-14
137366,IFORTE-NAP-AS-ID,ASRank,2022-09-14
141731,MaxHubLtd-AS-AP,ASRank,2022-09-14
12400,PARTNER-AS,ASRank,2022-09-14
137367,IFORTE-NAP-AS-ID,ASRank,2022-09-14
59605,ZAINGP-AS,ASRank,2022-09-14
26554,US-SIGNAL,ASRank,2022-09-14
8926,MOLDTELECOM-AS,ASRank,2022-09-14
59239,ITELLIMITED-AS-AP,ASRank,2022-09-14
5089,NTL,ASRank,2022-09-14
5483,MAGYAR-TELEKOM-MAIN-AS,ASRank,2022-09-14
13760,UNITI-FIBER,ASRank,2022-09-14
49832,AS-QBIC,ASRank,2022-09-14
1267,ASN-WINDTRE,ASRank,2022-09-14
6855,SK-TELEKOM,ASRank,2022-09-14
12129,123NET,ASRank,2022-09-14
58463,PGASCOM-AS-AP,ASRank,2022-09-14
40850,AS-UPIX-40850,ASRank,2022-09-14
60280,NTEC,ASRank,2022-09-14
59796,STORMWALL-AS,ASRank,2022-09-14
29208,DIALTELECOM-AS,ASRank,2022-09-14
8595,WESTCALL-AS,ASRank,2022-09-14
25159,SONICDUO-AS,ASRank,2022-09-14
7575,AARNET-AS-AP,ASRank,2022-09-14
9269,HKBN-AS-AP,ASRank,2022-09-14
12735,ASTurkNet,ASRank,2022-09-14
41798,TTC-AS,ASRank,2022-09-14
2907,SINET-AS,ASRank,2022-09-14
31242,TKPSA-AS,ASRank,2022-09-14
11426,TWC-11426-CAROLINAS,ASRank,2022-09-14
198949,VS-AS,ASRank,2022-09-14
10103,HKBN-AS-AP,ASRank,2022-09-14
29396,Eurofiber-UNET,ASRank,2022-09-14
22652,FIBRENOIRE-INTERNET,ASRank,2022-09-14
24961,MYLOC-AS,ASRank,2022-09-14
4808,CHINA169-BJ,ASRank,2022-09-14
33668,CMCS,ASRank,2022-09-14
18101,RELIANCE-COMMUNICATIONS-IN,ASRank,2022-09-14
8764,Telia-Lietuva,ASRank,2022-09-14
133840,JLMNET-AS-ID,ASRank,2022-09-14
58299,OPENFACTORY-AS,ASRank,2022-09-14
8262,EVOLINK-AS,ASRank,2022-09-14
9381,HKBNES-AS-AP,ASRank,2022-09-14
34779,T-2-AS,ASRank,2022-09-14
2711,SPIRITTEL-AS,ASRank,2022-09-14
13789,INTERNAP-BLK3,ASRank,2022-09-14
41689,FCP-NETWORK,ASRank,2022-09-14
12963,VOLZ,ASRank,2022-09-14
11351,TWC-11351-NORTHEAST,ASRank,2022-09-14
43754,ASIATECH,ASRank,2022-09-14
15576,NTS,ASRank,2022-09-14
17439,NETMAGIC-AP,ASRank,2022-09-14
18229,CTRLS-AS-IN,ASRank,2022-09-14
25091,IP-MAX,ASRank,2022-09-14
1853,ACOnet,ASRank,2022-09-14
60171,AFRIX-AS,ASRank,2022-09-14
201706,AS-SERVICEPIPE,ASRank,2022-09-14
48276,LEVEL-AS,ASRank,2022-09-14
39107,INTERLAN-AS,ASRank,2022-09-14
33659,CMCS,ASRank,2022-09-14
135069,FEENIX-AS-AP,ASRank,2022-09-14
5518,TELIALATVIJA,ASRank,2022-09-14
4787,ASN-CBN,ASRank,2022-09-14
13367,COMCAST-13367,ASRank,2022-09-14
25899,LSNET,ASRank,2022-09-14
3212,TELEMACH,ASRank,2022-09-14
199599,CIREX,ASRank,2022-09-14
27064,DNIC-ASBLK-27032-27159,ASRank,2022-09-14
135607,INFINIVAN-AS-AP,ASRank,2022-09-14
8657,MEO-INTERNACIONAL,ASRank,2022-09-14
33660,CMCS,ASRank,2022-09-14
48159,TIC-AS,ASRank,2022-09-14
