ASN,ORGANIZATION,SOURCE,ASOF_DATE
50677,MSK910,PeeringDB,2021-12-31
199947,Nexusway,PeeringDB,2021-12-31
209703,Xperientia Systems,PeeringDB,2021-12-31
209703,Experientia Systems s.l.,PeeringDB,2021-12-31
50673,Serverius,PeeringDB,2021-12-31
50673,Serverius private network,PeeringDB,2021-12-31
265053,SYS3 Telecom,PeeringDB,2021-12-31
212567,Freie Netze Muenchen e.V.,PeeringDB,2021-12-31
212567,Freifunk München,PeeringDB,2021-12-31
24709,MNI Telecom S.A.,PeeringDB,2021-12-31
24709,Hyperion S.A.,PeeringDB,2021-12-31
24709,Szptel S.A.,PeeringDB,2021-12-31
24709,MNI S.A.,PeeringDB,2021-12-31
212568,David Moes,PeeringDB,2021-12-31
212568,CO.RU.NET LUX NETWORK,PeeringDB,2021-12-31
24703,United Networks of Ukraine,PeeringDB,2021-12-31
61231,Neos Networks,PeeringDB,2021-12-31
213216,VNP DIGITAL AS213216,PeeringDB,2021-12-31
213216,VNP GLOBAL,PeeringDB,2021-12-31
61237,SigmaTV,PeeringDB,2021-12-31
213219,VXSERVERS,PeeringDB,2021-12-31
46131,TheIPGuys.Net,PeeringDB,2021-12-31
46131,OneNet Global,PeeringDB,2021-12-31
264679,KEPWISP,PeeringDB,2021-12-31
6799,OTEnet,PeeringDB,2021-12-31
6799,OTE SA (Hellenic Telecommunications Organisation),PeeringDB,2021-12-31
141331,Triveniview Enterprises,PeeringDB,2021-12-31
141331,Tvnet,PeeringDB,2021-12-31
267508,SEMPRENET INTERNET,PeeringDB,2021-12-31
13618,Carolina Internet / CaroNet,PeeringDB,2021-12-31
13618,CaroNet,PeeringDB,2021-12-31
327768,Somcast Networks,PeeringDB,2021-12-31
21470,South West Communications Group,PeeringDB,2021-12-31
21470,swcomms,PeeringDB,2021-12-31
4725,Softbank Corp. (former Japan Telecom),PeeringDB,2021-12-31
4725,ODN,PeeringDB,2021-12-31
4725,SoftBank,PeeringDB,2021-12-31
327767,Ultimate Linux Solutions,PeeringDB,2021-12-31
327767,Interexcel World Connection,PeeringDB,2021-12-31
327761,Access Point Technologies,PeeringDB,2021-12-31
327761,Access Point Technologies PTY LTD,PeeringDB,2021-12-31
266453,Acesso Net Servios,PeeringDB,2021-12-31
266453,Acesso Net Fibra,PeeringDB,2021-12-31
16066,T.E.S.T.,PeeringDB,2021-12-31
16066,"""T.E.S.T."" LLC",PeeringDB,2021-12-31
32220,BELD,PeeringDB,2021-12-31
266454,EXPAND TV,PeeringDB,2021-12-31
266454,EXPAND TV REGIONAL LTDA.,PeeringDB,2021-12-31
11280,Snappy Internet & Telecom,PeeringDB,2021-12-31
11284,NIC.BR c.dns.br,PeeringDB,2021-12-31
11284,Registro.BR Network (DNS.BR),PeeringDB,2021-12-31
201427,M2M Uslugi Teleinformatyczne,PeeringDB,2021-12-31
56824,Véonet,PeeringDB,2021-12-31
56824,Veonet,PeeringDB,2021-12-31
262862,PRTELECOM,PeeringDB,2021-12-31
262862,PR TELECOMUNICACOES LTDA,PeeringDB,2021-12-31
3742,Semaphore Corporation,PeeringDB,2021-12-31
3741,"Internet Solutions, South Africa",PeeringDB,2021-12-31
3741,IS,PeeringDB,2021-12-31
4621,UniNet Thailand,PeeringDB,2021-12-31
4621,Research and Education Network,PeeringDB,2021-12-31
4622,Indonesia Network Information Center,PeeringDB,2021-12-31
4622,IDNIC,PeeringDB,2021-12-31
13536,FirstLight Fiber,PeeringDB,2021-12-31
13536,TVC Albany Inc.,PeeringDB,2021-12-31
13536,Tech Valley Communications,PeeringDB,2021-12-31
4628,Pacific Internet Singapore,PeeringDB,2021-12-31
4628,PISG,PeeringDB,2021-12-31
13538,NYIIX-NY Route Servers,PeeringDB,2021-12-31
138726,Ozzy Infonet India Private Limited,PeeringDB,2021-12-31
138726,OneLink Broadband,PeeringDB,2021-12-31
14726,Chisholm Broadband,PeeringDB,2021-12-31
57660,Com4,PeeringDB,2021-12-31
57662,"OOO ""Proektnoe Byuro Severo-Zapad""",PeeringDB,2021-12-31
57662,BalticDataCom,PeeringDB,2021-12-31
28707,Stuart,PeeringDB,2021-12-31
11758,iRis Networks,PeeringDB,2021-12-31
11758,Tennessee Independent Telecommunications Group LLC,PeeringDB,2021-12-31
16390,VPS ALIENS LLC (Ltd.),PeeringDB,2021-12-31
16390,AS-Aliens,PeeringDB,2021-12-31
16397,"Equinix Connect - SP, Sao Paulo",PeeringDB,2021-12-31
16397,Equinix Connect SP,PeeringDB,2021-12-31
19566,Pason Systems Corp,PeeringDB,2021-12-31
16395,MBIX Route Servers,PeeringDB,2021-12-31
16395,MBIX,PeeringDB,2021-12-31
28258,Vero Internet,PeeringDB,2021-12-31
20886,bn:t Blatzheim Networks Telecom,PeeringDB,2021-12-31
141592,Infonet Nusa Solusindo,PeeringDB,2021-12-31
141592,INFONUSA,PeeringDB,2021-12-31
11017,Cisco Public Sector Network,PeeringDB,2021-12-31
52106,GALATEA - Dominik Budzowski,PeeringDB,2021-12-31
52106,GALATEA,PeeringDB,2021-12-31
141596,Wistel Teknologi Solusi,PeeringDB,2021-12-31
141596,WISTEL,PeeringDB,2021-12-31
62502,YEGIX Route Servers,PeeringDB,2021-12-31
62502,YEGIX,PeeringDB,2021-12-31
141840,Zoram Infonet Pvt Ltd,PeeringDB,2021-12-31
141840,Zoram Infonet,PeeringDB,2021-12-31
328262,Internet Uncapped,PeeringDB,2021-12-31
328262,iUncapped,PeeringDB,2021-12-31
25540,Alphalink,PeeringDB,2021-12-31
25540,init-sys,PeeringDB,2021-12-31
13289,iWelt AG,PeeringDB,2021-12-31
13289,29624,PeeringDB,2021-12-31
25542,Denit Internet Services,PeeringDB,2021-12-31
25542,Denit,PeeringDB,2021-12-31
13287,NIXVAL,PeeringDB,2021-12-31
13285,TalkTalk,PeeringDB,2021-12-31
13285,Opal Telecom,PeeringDB,2021-12-31
13285,Carphone Warehouse Networks,PeeringDB,2021-12-31
13284,Brain Technology SpA - Playnet,PeeringDB,2021-12-31
13284,Playnet,PeeringDB,2021-12-31
173,NTT Network Innovation Laboratories,PeeringDB,2021-12-31
60011,Mythic Beasts USA,PeeringDB,2021-12-31
13280,Three Ireland (Hutchison) Ltd,PeeringDB,2021-12-31
397770,LAKSH ASN-02,PeeringDB,2021-12-31
397770,LAKSH-CR2,PeeringDB,2021-12-31
328266,Atomic Access,PeeringDB,2021-12-31
46652,ServerStack,PeeringDB,2021-12-31
21283,A1 Slovenija,PeeringDB,2021-12-31
210098,Vectron Systems,PeeringDB,2021-12-31
210098,VECTRON,PeeringDB,2021-12-31
135207,Cloudnet Communications,PeeringDB,2021-12-31
135207,CLOUDNET,PeeringDB,2021-12-31
135206,Bluwaves Internet Services India,PeeringDB,2021-12-31
135206,Bluwaves Internet,PeeringDB,2021-12-31
140429,URBANACCESS,PeeringDB,2021-12-31
140429,MEDIA DISTRIBUSI PRIMA,PeeringDB,2021-12-31
200736,MEDIANET INVEST M.I.K.E,PeeringDB,2021-12-31
200736,ISP Inalan,PeeringDB,2021-12-31
46309,Tonaquint,PeeringDB,2021-12-31
42337,Respina Networks & Beyond PJSC,PeeringDB,2021-12-31
42337,42337,PeeringDB,2021-12-31
11996,Lobo Internet Services,PeeringDB,2021-12-31
11996,lobo,PeeringDB,2021-12-31
140423,Chandra Media Nusantara,PeeringDB,2021-12-31
140423,CMedia Nusantara,PeeringDB,2021-12-31
42330,Unchained ISP,PeeringDB,2021-12-31
134152,XMT Technologies,PeeringDB,2021-12-31
134152,XMT,PeeringDB,2021-12-31
45650,Vianet Communications Nepal,PeeringDB,2021-12-31
45650,Vianet,PeeringDB,2021-12-31
34422,LPG HC,PeeringDB,2021-12-31
48559,Infomex,PeeringDB,2021-12-31
41357,34SP.com Ltd.,PeeringDB,2021-12-31
41354,ITS Technology Group,PeeringDB,2021-12-31
45658,SURYACITRA,PeeringDB,2021-12-31
45658,SCTV,PeeringDB,2021-12-31
13460,EarthCam,PeeringDB,2021-12-31
138181,HEXHU,PeeringDB,2021-12-31
20080,AMPATH,PeeringDB,2021-12-31
20080,FIU-CIARA,PeeringDB,2021-12-31
328747,Wan4u,PeeringDB,2021-12-31
328745,URBAN WAVE INTERNET SOLUTIONS,PeeringDB,2021-12-31
328745,Urbanwave Internet,PeeringDB,2021-12-31
328748,Agile Solutions Provider,PeeringDB,2021-12-31
328748,AgileSP,PeeringDB,2021-12-31
55836,Reliance Jio Infocomm NLD Network,PeeringDB,2021-12-31
55836,Jio Platforms Ltd,PeeringDB,2021-12-31
202959,Joshua Colp,PeeringDB,2021-12-31
16930,Idle Pattern Communications,PeeringDB,2021-12-31
16930,Idle Pattern,PeeringDB,2021-12-31
135464,WINETMEDIA,PeeringDB,2021-12-31
135464,winetmedia,PeeringDB,2021-12-31
202954,Rapiddot,PeeringDB,2021-12-31
202954,Seedboxes.cc,PeeringDB,2021-12-31
133752,LeaseWeb Asia Pacific / HKG-10,PeeringDB,2021-12-31
44654,Media Network Services,PeeringDB,2021-12-31
44654,MNS.VC,PeeringDB,2021-12-31
44655,METROLINE,PeeringDB,2021-12-31
265109,VICTORIANET - VICTORIA & FRANCESCHINI,PeeringDB,2021-12-31
139058,Acandwitf Experimental Network,PeeringDB,2021-12-31
207227,Bootstrap,PeeringDB,2021-12-31
207227,Senzalice.it,PeeringDB,2021-12-31
12220,i-Evolve Technology Services,PeeringDB,2021-12-31
12220,i-Evolve Inc.,PeeringDB,2021-12-31
12220,IEvolve,PeeringDB,2021-12-31
265100,FSI telecomunicacoes,PeeringDB,2021-12-31
265100,FSI Telecom,PeeringDB,2021-12-31
265102,ARNET- Servios de Conexo Internet Ltda. - ME,PeeringDB,2021-12-31
265102,ArNet Internet Banda Larga,PeeringDB,2021-12-31
139056,FAST ONE,PeeringDB,2021-12-31
42156,GNX,PeeringDB,2021-12-31
42156,Globalnetx,PeeringDB,2021-12-31
15879,KPN Internedservices,PeeringDB,2021-12-31
15879,IS Group,PeeringDB,2021-12-31
34916,DIGITAL CONSTRUCTION NETWORK SRL,PeeringDB,2021-12-31
34916,DCN TELECOM,PeeringDB,2021-12-31
15702,euNetworks AT GmbH,PeeringDB,2021-12-31
15702,Onstage Online,PeeringDB,2021-12-31
15703,True B.V.,PeeringDB,2021-12-31
15703,True,PeeringDB,2021-12-31
15703,TrueServer,PeeringDB,2021-12-31
15704,MásMóvil,PeeringDB,2021-12-31
15704,Ibercom,PeeringDB,2021-12-31
15704,Yoigo,PeeringDB,2021-12-31
15704,XtraTelecom,PeeringDB,2021-12-31
15706,Sudatel Telecom Group,PeeringDB,2021-12-31
59620,Global Eletronic Solutions LTD.,PeeringDB,2021-12-31
59620,GESBG,PeeringDB,2021-12-31
209874,MQCN,PeeringDB,2021-12-31
209874,MoeQing Network Service,PeeringDB,2021-12-31
10578,Northern Crossroads,PeeringDB,2021-12-31
10578,NoX,PeeringDB,2021-12-31
9752,Flipkart Internet Private Limited,PeeringDB,2021-12-31
9752,Flipkart.com,PeeringDB,2021-12-31
16509,Amazon.com,PeeringDB,2021-12-31
16509,Amazon Web Services,PeeringDB,2021-12-31
268430,L&R Soluções em Telecomunicações,PeeringDB,2021-12-31
268430,Flash Link Internet,PeeringDB,2021-12-31
57883,NITAET,PeeringDB,2021-12-31
37305,Frontier Optical Networks,PeeringDB,2021-12-31
37305,FON,PeeringDB,2021-12-31
24144,LSHIY Limited,PeeringDB,2021-12-31
18931,JBJ Internet,PeeringDB,2021-12-31
18931,SAI,PeeringDB,2021-12-31
37302,Dube TradePort,PeeringDB,2021-12-31
37302,DTPC,PeeringDB,2021-12-31
49791,3HCLOUD,PeeringDB,2021-12-31
63270,Aerux Broadband,PeeringDB,2021-12-31
63270,Aerux,PeeringDB,2021-12-31
37308,Coollink,PeeringDB,2021-12-31
37308,Steam Broadcasting and Communications,PeeringDB,2021-12-31
138731,Kovai Fibernet Pvt Ltd,PeeringDB,2021-12-31
211947,kremen-IX Route Servers,PeeringDB,2021-12-31
8849,Melbicom,PeeringDB,2021-12-31
211945,Targetspot,PeeringDB,2021-12-31
211945,Targetspot EU,PeeringDB,2021-12-31
29424,Briod,PeeringDB,2021-12-31
29424,AS29424,PeeringDB,2021-12-31
211942,Aaran Cloud,PeeringDB,2021-12-31
211940,MIHAILA N VALENTIN-EUGEN,PeeringDB,2021-12-31
8844,CI-Net Limited,PeeringDB,2021-12-31
8844,Community Internet,PeeringDB,2021-12-31
210129,Atomo Networks,PeeringDB,2021-12-31
59954,TN-IX Route Servers,PeeringDB,2021-12-31
59956,EUIX,PeeringDB,2021-12-31
271412,FR Sousa Telecomunicações,PeeringDB,2021-12-31
271410,Smart Serviços de Internet,PeeringDB,2021-12-31
271410,Smart Connecting People,PeeringDB,2021-12-31
271417,WANEZIA DE CASSIA DA SILVA ALVES,PeeringDB,2021-12-31
271417,Acesso Online,PeeringDB,2021-12-31
