ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
208751,50.4788,12.3347,RIPEAtlas,,50.3170436799,11.9166780178,Hof,Bayern,DE,False,2022-09-15
209844,51.7315,11.3454,RIPEAtlas,,52.1304213655,11.6200036201,Magdeburg,Sachsen-Anhalt,DE,False,2022-09-15
213392,50.4788,12.3348,RIPEAtlas,,50.3170436799,11.9166780178,Hof,Bayern,DE,False,2022-09-15
12008,50.12,8.7357,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
12306,50.0961,8.6284,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
14061,50.1201,8.7356,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
15169,50.1109,8.6821,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
16509,50.1109,8.6821,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
200462,50.1109,8.6821,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
202196,50.1201,8.7356,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
203329,50.1281,8.6011,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
20473,50.1201,8.7356,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
205614,50.0996,8.6317,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
206479,50.1396,8.7429,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
209844,50.0988,8.632,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
28753,50.1109,8.6821,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
3320,50.1109,8.6821,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
