CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,CITY_LATITUDE,CITY_LONGITUDE
Mbuji-Mayi,Kasaï-Oriental,CD,-6.15002642937,23.599995889
Kananga,Kasaï-Occidental,CD,-5.89004229851,22.4000174547
Kasaji,Katanga,CD,-10.3662031872,23.449979206
Mwene-Ditu,Kasaï-Oriental,CD,-7.00000038771,23.4400056546
Kabinda,Kasaï-Oriental,CD,-6.12961423861,24.4799938545
Gandajika,Kasaï-Oriental,CD,-6.73960284539,23.9600255928
Kongolo,Katanga,CD,-5.37947914747,26.9799962959
Mufulira,Copperbelt,ZM,-12.5499975394,28.2599698473
Lubumbashi,Katanga,CD,-11.6800248018,27.4800174548
Kipushi,Katanga,CD,-11.7596065075,27.2500056546
Kambove,Katanga,CD,-10.8695833142,26.6000194893
Kolwezi,Katanga,CD,-10.7167244274,25.4724397366
Mumbwa,Central,ZM,-14.9796166801,27.0700166409
Mchinji,Mchinji,MW,-13.8,32.9
Chingola,Copperbelt,ZM,-12.5396105765,27.85002071
Kitwe,Copperbelt,ZM,-12.8100333467,28.2200239652
Luanshya,Copperbelt,ZM,-13.1333211071,28.4000129788
Mpika,Northern,ZM,-11.8300414847,31.4599812406
Likasi,Katanga,CD,-10.9700422985,26.7800085029
Ndola,Copperbelt,ZM,-12.9999442354,28.6500235583
Chililabombwe,Copperbelt,ZM,-12.3695951143,27.8199967028
Kawambwa,Luapula,ZM,-9.77952065139,29.0800231514
Kasama,Northern,ZM,-10.1995983695,31.179946654
Kamina,Katanga,CD,-8.73002398797,25.0099873441
Manono,Katanga,CD,-7.30003375359,27.4499934476
Nchelenge,Luapula,ZM,-9.34957273472,28.7300186755
Mansa,Luapula,ZM,-11.2000024222,28.8900089098
Luanza,Katanga,CD,-8.69958656935,28.6999946683
Kipili,Rukwa,TZ,-7.43289386102,30.5999820544
Karema,Rukwa,TZ,-6.81618731804,30.4332738838
Kalemie,Katanga,CD,-5.93329547234,29.2000158272
Moba,Katanga,CD,-7.05958331414,29.7199840889
Masaka,Masaka,UG,-0.32960650747,31.7299905993
Bulungu,Bandundu,CD,-4.54960732129,18.5999910061
Ikela,Cquateur,CD,-1.18293943391,23.2665795478
Mbandaka,Équateur,CD,0.04003501271,18.2600117581
Ilebo,Kasaï-Occidental,CD,-4.31959552116,20.6099975166
Lubao,Kasaï-Oriental,CD,-5.38955605176,25.7499938545
Kindu,Maniema,CD,-2.96391599641,25.9099840889
Buluko,Nord-Kivu,CD,-0.75699888928,28.5280025406
Lusambo,Kasaï-Oriental,CD,-4.96958168653,23.4300321032
Lodja,Kasaï-Oriental,CD,-3.48962034212,23.4200068753
Bukavu,Sud-Kivu,CD,-2.50999021516,28.8400377998
Kampene,Maniema,CD,-3.5995361136,26.670041055
Kasongo,Maniema,CD,-4.45002683626,26.6600158271
Kalima,Maniema,CD,-2.5095768037,26.430004027
Kisangani,Orientale,CD,0.52000571584,25.2200003649
Makamba,Makamba,BI,-4.13330390331,29.7999996374
Uvira,Sud-Kivu,CD,-3.36998940136,29.1400194893
Nyunzu,Katanga,CD,-5.94957354851,28.0166772041
Butare,Southern,RW,-2.58962359732,29.7300093167
Mwenga,Sud-Kivu,CD,-3.03822670605,28.4325174548
